aIdStaoZ9;E23_994;E23_1269;E23_1366
821178;ja;nein;nein
815186;ja;ja;ja
809186;ja;ja;ja
785154;ja;ja;ja
779210;ja;ja;ja
779198;ja;ja;ja
779182;ja;ja;ja
773206;ja;ja;ja
773142;ja;ja;nein
761210;ja;ja;ja
761154;ja;ja;ja
757248;nein;nein;ja
749226;ja;ja;ja
749210;ja;ja;ja
743198;ja;ja;ja
737246;ja;ja;ja
737242;ja;ja;nein
737174;ja;ja;ja
731254;ja;ja;ja
731246;nein;nein;ja
731230;ja;ja;ja
731198;ja;ja;ja
731182;nein;nein;ja
731178;ja;ja;ja
725222;ja;ja;ja
725210;nein;nein;ja
725206;ja;ja;nein
719266;ja;ja;ja
719246;ja;ja;ja
719242;ja;ja;ja
719238;ja;ja;ja
719210;nein;nein;ja
719154;ja;nein;nein
713254;ja;ja;ja
713234;ja;ja;ja
713218;ja;ja;ja
707266;nein;nein;ja
707242;ja;ja;ja
707214;ja;ja;ja
707206;ja;ja;ja
707170;nein;nein;ja
701202;ja;ja;ja
695266;ja;ja;ja
695210;ja;ja;ja
695202;ja;ja;ja
695190;ja;ja;ja
695154;ja;ja;ja
689230;ja;nein;nein
689214;nein;nein;ja
689190;ja;ja;ja
689154;ja;ja;ja
683258;nein;nein;ja
683222;ja;ja;ja
683202;ja;ja;ja
683198;ja;ja;nein
677242;ja;ja;ja
677214;ja;ja;ja
677202;ja;ja;ja
677194;ja;nein;nein
671198;ja;ja;ja
665190;ja;ja;ja
653202;ja;ja;ja
653138;ja;ja;ja
647258;ja;ja;ja
647190;ja;nein;nein
647182;ja;ja;ja
647174;ja;ja;ja
647166;ja;nein;nein
641214;ja;ja;ja
641162;ja;ja;nein
637264;nein;nein;ja
635186;ja;nein;nein
629218;nein;ja;ja
629202;ja;ja;nein
629194;ja;ja;ja
629190;ja;ja;ja
629174;ja;ja;ja
629162;nein;nein;ja
629126;nein;nein;ja
629118;ja;ja;ja
629114;ja;ja;nein
623218;ja;ja;ja
617246;ja;ja;ja
617178;ja;ja;ja
617158;nein;nein;ja
611170;ja;ja;ja
611166;nein;ja;ja
611154;ja;ja;ja
605178;ja;ja;ja
605166;ja;ja;ja
605158;nein;nein;ja
605154;ja;ja;ja
605142;nein;nein;ja
605106;ja;ja;ja
599174;ja;ja;ja
599138;ja;ja;ja
593238;ja;ja;ja
593226;ja;nein;nein
593170;ja;ja;ja
593154;ja;ja;ja
593146;ja;ja;ja
593114;ja;ja;ja
587206;nein;nein;ja
587166;nein;nein;ja
587162;ja;ja;ja
587154;nein;nein;ja
587150;ja;ja;ja
587138;ja;ja;ja
581246;ja;ja;ja
581178;nein;nein;ja
581170;ja;nein;nein
581150;ja;ja;ja
581146;ja;ja;ja
581142;ja;ja;ja
575186;nein;nein;ja
575158;ja;ja;ja
575154;ja;ja;ja
575138;ja;ja;ja
575090;ja;ja;ja
571128;nein;nein;ja
569226;ja;ja;ja
569154;ja;ja;ja
569118;ja;ja;ja
565220;nein;nein;ja
563246;ja;ja;ja
563234;nein;ja;ja
563230;nein;nein;ja
563218;ja;ja;nein
563162;ja;ja;ja
557174;ja;ja;nein
557154;ja;ja;ja
557130;ja;ja;ja
557118;ja;ja;nein
551214;ja;ja;ja
551210;ja;ja;ja
551206;nein;nein;ja
551166;ja;ja;ja
551154;ja;ja;ja
551150;ja;ja;ja
545198;ja;ja;ja
545154;ja;ja;ja
541204;nein;nein;ja
539194;nein;nein;ja
539174;ja;ja;ja
539166;ja;nein;ja
533194;ja;ja;ja
533190;ja;ja;ja
521170;ja;ja;nein
509166;ja;ja;ja
509162;ja;ja;ja
503150;ja;ja;ja